geracao,ignorantes,espalhadores,inativos,inventores,fake_1_ativos,fake_1_total_alcancado,fake_2_ativos,fake_2_total_alcancado,fake_3_ativos,fake_3_total_alcancado
0,3489,108,0,3,40,40,33,33,38,38
1,3489,1,107,3,1,40,2,33,1,38
2,3489,1,107,3,1,40,2,33,1,38
3,3489,1,107,3,1,40,2,33,1,38
4,3489,1,107,3,1,40,2,33,1,38
5,3489,1,107,3,1,40,2,33,1,38
6,3489,1,107,3,1,40,2,33,1,38
7,3489,0,108,3,1,40,1,33,1,38
8,3489,0,108,3,1,40,1,33,1,38
9,3489,0,108,3,1,40,1,33,1,38
10,3489,0,108,3,1,40,1,33,1,38
11,3489,0,108,3,1,40,1,33,1,38
12,3489,0,108,3,1,40,1,33,1,38
13,3489,0,108,3,1,40,1,33,1,38
14,3489,0,108,3,1,40,1,33,1,38
15,3489,0,108,3,1,40,1,33,1,38
16,3489,0,108,3,1,40,1,33,1,38
17,3489,0,108,3,1,40,1,33,1,38
18,3489,0,108,3,1,40,1,33,1,38
19,3489,0,108,3,1,40,1,33,1,38
20,3489,0,108,3,1,40,1,33,1,38
21,3489,0,108,3,1,40,1,33,1,38
22,3489,0,108,3,1,40,1,33,1,38
23,3489,0,108,3,1,40,1,33,1,38
24,3489,0,108,3,1,40,1,33,1,38
25,3489,0,108,3,1,40,1,33,1,38
26,3489,0,108,3,1,40,1,33,1,38
27,3489,0,108,3,1,40,1,33,1,38
28,3489,0,108,3,1,40,1,33,1,38
29,3489,0,108,3,1,40,1,33,1,38
30,3488,1,108,3,1,40,1,33,2,39
